"State","Condition","Measure Name","Category","Number of Hospitals"
"AK      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",0
"AK      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",5
"AK      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",12
"AK      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",0
"AK      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"AK      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",4
"AK      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",12
"AK      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"AK      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",0
"AK      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",10
"AK      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",11
"AK      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",0
"AK      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",0
"AK      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",10
"AK      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",12
"AK      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",0
"AK      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",0
"AK      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",15
"AK      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",7
"AK      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",0
"AK      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",0
"AK      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",16
"AK      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",6
"AK      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",0
"AL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",1
"AL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",61
"AL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",36
"AL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",2
"AL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",1
"AL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",46
"AL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",51
"AL      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",0
"AL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",3
"AL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",91
"AL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",7
"AL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",1
"AL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",2
"AL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",90
"AL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",6
"AL      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",4
"AL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",3
"AL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",90
"AL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",5
"AL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",4
"AL      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Better than U.S. National Rate",1
"AL      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","No different than U.S. National Rate",92
"AL      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Number of Cases Too Small*",5
"AL      ","Pneumonia","Hospital 30-Day Readmission Rates for Pneumonia","Worse than U.S. National Rate",4
"AR      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Better than U.S. National Rate",1
"AR      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","No different than U.S. National Rate",40
"AR      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Number of Cases Too Small*",31
"AR      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates for Heart Attack","Worse than U.S. National Rate",6
"AR      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Better than U.S. National Rate",0
"AR      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","No different than U.S. National Rate",34
"AR      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Number of Cases Too Small*",42
"AR      ","Heart Attack","Hospital 30-Day Readmission Rates for Heart Attack","Worse than U.S. National Rate",1
"AR      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Better than U.S. National Rate",0
"AR      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","No different than U.S. National Rate",61
"AR      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Number of Cases Too Small*",4
"AR      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates for Heart Failure","Worse than U.S. National Rate",14
"AR      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Better than U.S. National Rate",0
"AR      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","No different than U.S. National Rate",68
"AR      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Number of Cases Too Small*",5
"AR      ","Heart Failure","Hospital 30-Day Readmission Rates for Heart Failure","Worse than U.S. National Rate",7
"AR      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Better than U.S. National Rate",2
"AR      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","No different than U.S. National Rate",65
"AR      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Number of Cases Too Small*",3
"AR      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates for Pneumonia","Worse than U.S. National Rate",9
