"State","Condition","Measure Name","State Average"
"AR","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","89"
"AR","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","86"
"AR","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","89"
"AR","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","45"
"AR","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","62"
"AR","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","96"
"AR","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","87"
"AR","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","87"
"AR","Heart Failure","Heart Failure Patients Given Discharge Instructions","79"
"AR","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","97"
"AR","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","85"
"AR","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","87"
"AR","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","95"
"AR","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","99"
"AR","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","95"
"AR","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","87"
"AR","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","93"
"AR","Surgical Infection Prevention","all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","87"
"AR","Surgical Infection Prevention","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","82"
"AR","Surgical Infection Prevention","surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","84"
"AR","Surgical Infection Prevention","surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method (electric clippers or hair removal cream – not a razor)","97"
"AR","Surgical Infection Prevention","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","88"
"AR","Surgical Infection Prevention","surgery patients who were given the  right kind  of antibiotic to help prevent infection","93"
"AR","Surgical Infection Prevention","surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","88"
"AS","Children's Asthma Care","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma",
"AS","Children's Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AS","Children's Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AS","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)",
"AS","Heart Attack","Heart Attack Patients Given Aspirin at Arrival",
"AS","Heart Attack","Heart Attack Patients Given Aspirin at Discharge",
"AS","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge",
"AS","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival",
"AS","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival",
"AS","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling",
"AS","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)",
"AS","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function",
"AS","Heart Failure","Heart Failure Patients Given Discharge Instructions",
"AS","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling",
"AS","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination",
"AS","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination",
"AS","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival",
"AS","Pneumonia","Pneumonia Patients Given Oxygenation Assessment",
"AS","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling",
"AS","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)",
"AS","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics",
"AS","Surgical Infection Prevention","all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery",
"AS","Surgical Infection Prevention","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery",
"AS","Surgical Infection Prevention","surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries",
"AS","Surgical Infection Prevention","surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method (electric clippers or hair removal cream – not a razor)",
"AS","Surgical Infection Prevention","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection",
"AS","Surgical Infection Prevention","surgery patients who were given the  right kind  of antibiotic to help prevent infection",
"AS","Surgical Infection Prevention","surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)",
"AZ","Children's Asthma Care","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma",
"AZ","Children's Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AZ","Children's Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AZ","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","92"
"AZ","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","98"
"AZ","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","92"
"AZ","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","95"
"AZ","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","21"
"AZ","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","71"
"AZ","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","97"
"AK","Children's Asthma Care","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma",
"AK","Children's Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AK","Children's Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AK","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","97"
"AK","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","99"
"AK","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","99"
"AK","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","97"
"AK","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","21"
"AK","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","76"
"AK","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","71"
"AK","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","97"
"AK","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","83"
"AK","Heart Failure","Heart Failure Patients Given Discharge Instructions","50"
"AK","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","75"
"AK","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","65"
"AK","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","80"
"AK","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","94"
"AK","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","100"
"AK","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","68"
"AK","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","86"
"AK","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","92"
"AK","Surgical Infection Prevention","all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","95"
