"Measure Name","Condition","Measure Code","Percentile","Score"
"Children Who Received Reliever Medication While Hospitalized for Asthma    ","Children's Asthma Process of Care Measures","CAC_1","National Average of Hospitals submitting data:","100"
"Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma      ","Children's Asthma Process of Care Measures","CAC_2","National Average of Hospitals submitting data:","100"
"Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","Children's Asthma Process of Care Measures","CAC_3","National Average of Hospitals submitting data:","77"
"Heart Failure Patients Given Discharge Instructions","Heart Failure Process of Care Measures","HF_1","National Average of Hospitals submitting data:","90"
"Heart Failure Patients Given Discharge Instructions","Heart Failure Process of Care Measures","HF_1","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure Process of Care Measures","HF_2","National Average of Hospitals submitting data:","98"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure Process of Care Measures","HF_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure Process of Care Measures","HF_3","National Average of Hospitals submitting data:","95"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure Process of Care Measures","HF_3","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure Process of Care Measures","HF_4","National Average of Hospitals submitting data:","99"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure Process of Care Measures","HF_4","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia Process of Care Measures","PN_2","National Average of Hospitals submitting data:","94"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia Process of Care Measures","PN_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","Pneumonia Process of Care Measures","PN_3b","National Average of Hospitals submitting data:","96"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","Pneumonia Process of Care Measures","PN_3b","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia Process of Care Measures","PN_4","National Average of Hospitals submitting data:","98"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia Process of Care Measures","PN_4","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Pneumonia Process of Care Measures","PN_5c","National Average of Hospitals submitting data:","96"
"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Pneumonia Process of Care Measures","PN_5c","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia Process of Care Measures","PN_6","National Average of Hospitals submitting data:","93"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia Process of Care Measures","PN_6","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia Process of Care Measures","PN_7","National Average of Hospitals submitting data:","91"
