"State","Condition","Measure Name","State Average"
"AK","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","84"
"AK","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","93"
"AK","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","94"
"AK","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","90"
"AK","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","89"
"AK","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","3"
"AK","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","82"
"AK","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","74"
"AK","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","93"
"AK","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","82"
"AK","Heart Failure","Heart Failure Patients Given Discharge Instructions","52"
"AK","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","80"
"AK","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","69"
"AK","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","71"
"AK","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","76"
"AK","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","100"
"AK","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","76"
"AK","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","84"
"AK","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","93"
"AK","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","79"
"AK","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","91"
"AK","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","68"
"AK","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","72"
"AK","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","75"
"AL","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","77"
"AL","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","87"
