"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Number of Patients 1","Footnote 1","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Number of Patients 2","Footnote 2","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Number of Patients 3","Footnote 3"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","100","189","","100","189","","84","189",""
"013301","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","1700 CENTER STREET","","","MOBILE","AL","36604","MOBILE","2514151000","100","137","Data submitted were based on a sample of cases/patients","99","137","Data submitted were based on a sample of cases/patients","51","137","Data submitted were based on a sample of cases/patients"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","","","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","100","27","","100","27","","96","26",""
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","","","TUCSON","AZ","85724","PIMA","5206940111","100","190","Data submitted were based on a sample of cases/patients","100","190","Data submitted were based on a sample of cases/patients","88","190","Data submitted were based on a sample of cases/patients"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","","","MESA","AZ","85202","MARICOPA","4804123000","100","316","Data submitted were based on a sample of cases/patients","100","314","Data submitted were based on a sample of cases/patients","96","316","Data submitted were based on a sample of cases/patients"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","","","TUBA CITY","AZ","86045","COCONINO","9282832501","100","14","","100","14","","50","14",""
"033302","PHOENIX CHILDREN'S HOSPITAL","1919 EAST THOMAS ROAD","","","PHOENIX","AZ","85016","MARICOPA","6029330400","99","318","Data submitted were based on a sample of cases/patients","100","313","Data submitted were based on a sample of cases/patients","92","318","Data submitted were based on a sample of cases/patients"
"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","","","JONESBORO","AR","72401","CRAIGHEAD","8709724100","100","29","","100","29","","89","28",""
"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","","","JONESBORO","AR","72401","CRAIGHEAD","8709727000","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"043300","ARKANSAS CHILDREN'S HOSPITAL","800 MARSHALL STREET SLOT 301","","","LITTLE ROCK","AR","72202","PULASKI","5013641100","100","208","","100","208","","90","208",""
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","","","EL CENTRO","CA","92243","IMPERIAL","7603397100","100","54","","100","54","","75","53",""
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","","","SAN FRANCISCO","CA","94115","SAN FRANCISCO","4156006000","100","82","","100","81","","85","82",""
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","","","SAN FRANCISCO","CA","94110","SAN FRANCISCO","4156416562","100","18","","100","18","","88","17",""
"050104","SAINT FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY","","","LYNWOOD","CA","90262","LOS ANGELES","3109008900","100","61","","100","61","","97","59",""
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST","","","LOMA LINDA","CA","92354","SAN BERNARDINO","9095584000","100","220","Data submitted were based on a sample of cases/patients","100","220","Data submitted were based on a sample of cases/patients","68","217","Data submitted were based on a sample of cases/patients"
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","","","SAN FRANCISCO","CA","94143","SAN FRANCISCO","4153532733","100","44","","100","44","","98","44",""
"050599","UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","2315 STOCKTON BOULEVARD","","","SACRAMENTO","CA","95817","SACRAMENTO","9167342011","100","115","","100","115","","73","115","Data submitted were based on a sample of cases/patients"
"053302","CHILDREN'S HOSP OF LOS ANGELES","4650 SUNSET BLVD","","","LOS ANGELES","CA","90027","LOS ANGELES","3236692164","100","233","Data submitted were based on a sample of cases/patients","100","233","Data submitted were based on a sample of cases/patients","91","233","Data submitted were based on a sample of cases/patients"
"053305","LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD","725 WELCH ROAD","","","PALO ALTO","CA","94304","SANTA CLARA","6504978000","100","153","Data submitted were based on a sample of cases/patients","100","153","Data submitted were based on a sample of cases/patients","97","153","Data submitted were based on a sample of cases/patients"
"053309","MILLER CHILDREN'S HOSPITAL","2801 ATLANTIC AVENUE","","","LONG BEACH","CA","90806","LOS ANGELES","5629338001","100","488","Data submitted were based on a sample of cases/patients","99","488","Data submitted were based on a sample of cases/patients","98","486","Data submitted were based on a sample of cases/patients"
"063301","CHILDRENS HOSPITAL COLORADO","13123 EAST 16TH AVENUE","","","AURORA","CO","80045","ADAMS","7207771234","100","673","Data submitted were based on a sample of cases/patients","100","673","Data submitted were based on a sample of cases/patients","93","669","Data submitted were based on a sample of cases/patients"
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","","","NEW HAVEN","CT","06504","NEW HAVEN","2036884242","100","343","Data submitted were based on a sample of cases/patients","99","343","Data submitted were based on a sample of cases/patients","73","342","Data submitted were based on a sample of cases/patients"
"073300","CONNECTICUT CHILDRENS MEDICAL CENTER","282 WASHINGTON STREET","","","HARTFORD","CT","06106","HARTFORD","8605459000","100","283","","98","282","","70","283",""
"090003","HOWARD UNIVERSITY HOSPITAL","2041 GEORGIA AVE NW","","","WASHINGTON","DC","20060","DISTRICT OF COLUMBIA","2027456100","100","16","","75","16","","47","15",""
"090004","MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL","3800 RESERVOIR RD","","","WASHINGTON","DC","20007","DISTRICT OF COLUMBIA","2027843000","100","86","Data submitted were based on a sample of cases/patients","100","86","Data submitted were based on a sample of cases/patients","93","86","Data submitted were based on a sample of cases/patients"
"093300","CHILDREN'S HOSPITAL NMC","111 MICHIGAN AVE, NW","","","WASHINGTON","DC","20010","DISTRICT OF COLUMBIA","2024765000","100","406","Data submitted were based on a sample of cases/patients","100","406","Data submitted were based on a sample of cases/patients","90","404","Data submitted were based on a sample of cases/patients"
"100006","ORLANDO HEALTH","1414 S KUHL AVE","","","ORLANDO","FL","32806","ORANGE","3218415111","100","386","","100","385","","96","387",""
"100038","MEMORIAL REGIONAL HOSPITAL","3501 JOHNSON ST","","","HOLLYWOOD","FL","33021","BROWARD","9549872000","100","241","","100","240","","99","241",""
"100088","BAPTIST MEDICAL CENTER","800 PRUDENTIAL DR","","","JACKSONVILLE","FL","32207","DUVAL","9042022000","100","481","","100","481","","95","479",""
"100246","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","1700 S 23RD ST","","","FORT PIERCE","FL","34950","SAINT LUCIE","7724614000","100","65","","100","65","","95","65",""
"110034","MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS","1120 15TH STREET","","","AUGUSTA","GA","30912","RICHMOND","7067216569","100","179","Data submitted were based on a sample of cases/patients","100","179","Data submitted were based on a sample of cases/patients","90","178","Data submitted were based on a sample of cases/patients"
"110095","TIFT REGIONAL MEDICAL CENTER","901 E 18TH STREET","","","TIFTON","GA","31793","TIFT","2293827120","100","46","","100","46","","72","46",""
"130006","ST LUKES REGIONAL MEDICAL CENTER","190 EAST BANNOCK STREET","","","BOISE","ID","83712","ADA","2083812222","100","85","","99","85","","86","84",""
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","","","SPRINGFIELD","IL","62769","SANGAMON","2175446464","100","73","","100","73","","89","73",""
"140088","THE UNIVERSITY OF CHICAGO MEDICAL CENTER","5841 SOUTH MARYLAND","","","CHICAGO","IL","60637","COOK","7737021000","100","307","Data submitted were based on a sample of cases/patients","100","306","Data submitted were based on a sample of cases/patients","81","306","Data submitted were based on a sample of cases/patients"
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","","","EVERGREEN PARK","IL","60805","COOK","7084226200","100","32","","100","32","","97","32",""
