"State","Condition","Measure Name","Category","Number of Hospitals"
"AK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"AL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"AR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","2"
"AS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"AZ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"CA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"CO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"CT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"DC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"DE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"FL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"GA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"GU","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"HI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"IA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"ID","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"IL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"IN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"KS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"KY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"LA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"MA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"MD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"ME","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"MI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","3"
"MN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"MO","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"MP","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"MS","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"MT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"NC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"ND","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"NE","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"NH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"NJ","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"NM","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"NV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"NY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"OH","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"OK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"OR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"PA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","1"
"PR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"RI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"SC","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"SD","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"TN","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"TX","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","3"
"UT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"VA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"VI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"VT","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"WA","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"WI","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"WV","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"WY","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","Worse than U.S. National Rate","0"
"AK","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","5"
"AL","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","50"
"AR","Heart Attack","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","No different than U.S. National Rate","30"
