"State","Condition","Measure Name","Measure Code","Score"
"AK","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","156"
"AL","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","59"
"AR","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","57"
"AS","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"AZ","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","43"
"CA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","59"
"CO","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58"
"CT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60"
"DC","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","68"
"DE","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60"
"FL","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54"
"GA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","68"
"GU","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"HI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","170"
"IA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","64"
"ID","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","74"
"IL","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60"
"IN","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","45"
"KS","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56"
"KY","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","59"
"LA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","95"
"MA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55"
"MD","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"ME","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","41"
"MI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54"
"MN","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","53"
"MO","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56"
"MP","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"MS","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","65"
"MT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","115"
"NC","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","44"
"ND","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","112"
"NE","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","69"
"NH","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52"
"NJ","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","74"
"NM","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","109"
"NV","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","49"
"NY","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","73"
"OH","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58"
"OK","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","75"
"OR","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50"
"PA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61"
"PR","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"RI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63"
"SC","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","45"
"SD","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63"
"TN","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52"
"TX","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61"
"UT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","40"
"VA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","59"
"VI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"VT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","28"
"WA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","51"
"WI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55"
"WV","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","100"
"WY","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","172"
"AK","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"AL","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"AR","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"AS","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"AZ","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"CA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"CO","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"CT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"DC","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","14"
"DE","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"FL","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"GA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"GU","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"HI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"IA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"ID","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"IL","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"IN","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"KS","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"KY","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"LA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"MA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"MD","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","16"
"ME","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"MI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"MN","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"MO","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"MP","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"MS","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"MT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"NC","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"ND","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","12"
"NE","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"NH","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"NJ","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"NM","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"NV","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"NY","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"OH","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"OK","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"OR","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"PA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"PR","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"RI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10"
"SC","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","5"
"SD","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","5"
"TN","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","5"
"TX","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"UT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"VA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"VI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"VT","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"WA","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"WI","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"WV","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"WY","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"AK","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","61"
"AL","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","53"
"AR","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","64"
"AS","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"AZ","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","40"
"CA","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","62"
"CO","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","47"
"CT","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","31"
"DC","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"DE","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available"
"FL","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","63"
