"Measure Name","Condition","Measure Code","Percentile","Score"
"Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","Heart Attack or Chest Pain","OP_3b","National Average of Hospitals submitting data:","58"
"Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","Heart Attack or Chest Pain","OP_3b","Top 10% of Hospitals submitting data scored equal to or higher than:","38"
"Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","Heart Attack or Chest Pain","OP_5","National Average of Hospitals submitting data:","7"
"Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","Heart Attack or Chest Pain","OP_5","Top 10% of Hospitals submitting data scored equal to or higher than:","3"
"Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain","OP_2","National Average of Hospitals submitting data:","56"
"Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain","OP_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","Heart Attack or Chest Pain","OP_4","National Average of Hospitals submitting data:","97"
"Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","Heart Attack or Chest Pain","OP_4","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart attack patients given aspirin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_2","National Average of Hospitals submitting data:","99"
"Heart attack patients given aspirin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart attack patients given fibrinolytic medication within 30 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_7a","National Average of Hospitals submitting data:","61"
"Heart attack patients given fibrinolytic medication within 30 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_7a","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart attack patients given PCI within 90 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_8a","National Average of Hospitals submitting data:","95"
"Heart attack patients given PCI within 90 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_8a","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Median Time to Fibrinolysis","Heart Attack or Chest Pain","OP_1","National Average of Hospitals submitting data:","29"
"Median Time to Fibrinolysis","Heart Attack or Chest Pain","OP_1","Top 10% of Hospitals submitting data scored equal to or higher than:","20"
"Heart attack patients given a prescription for a statin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_10","National Average of Hospitals submitting data:","98"
"Heart attack patients given a prescription for a statin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_10","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
