"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Number Of Cases"
"Nation","282","Acute myocardial infarction, discharged alive w/o CC/MCC","29370"
"Nation","280","Acute myocardial infarction, discharged alive w MCC","67178"
"Nation","281","Acute myocardial infarction, discharged alive w CC","47460"
"Nation","293","Heart failure and shock w/o CC/MCC","80313"
"Nation","291","Heart failure and shock w MCC","185208"
"Nation","292","Heart failure and shock w CC","205584"
"Nation","192","Chronic obstructive pulmonary disease w/o CC/MCC","100017"
"Nation","190","Chronic obstructive pulmonary disease w MCC","142691"
"Nation","191","Chronic obstructive pulmonary disease w CC","138190"
"Nation","193","Simple pneumonia and pleurisy w MCC","131265"
"Nation","637","Diabetes w MCC","21668"
"Nation","313","Chest Pain","106953"
"Nation","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","4822"
"Nation","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","17271"
"Nation","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","20755"
"Nation","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","19776"
"Nation","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","17435"
"Nation","226","Cardiac defibrillator implant w/o cardiac cath w MCC","5072"
"Nation","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","2998"
"Nation","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","2400"
"Nation","039","Extracranial procedures w/o CC/MCC","35382"
"Nation","038","Extracranial procedures w CC","12547"
"Nation","236","Coronary bypass w/o cardiac cath w/o MCC","19901"
"Nation","235","Coronary bypass w/o cardiac cath w MCC","8111"
"Nation","244","Permanent cardiac pacemaker implant w/o CC/MCC","28212"
"Nation","243","Permanent cardiac pacemaker implant w CC","32016"
"Nation","247","Perc cardiovasc proc w drug-eluting stent w/o MCC","102245"
"Nation","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","23168"
"Nation","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","17450"
"Nation","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","26431"
"Nation","414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","3681"
"Nation","355","Hernia procedures except inguinal and femoral w/o CC/MCC","10056"
"Nation","353","Hernia procedures except inguinal and femoral w MCC","3612"
"Nation","354","Hernia procedures except inguinal and femoral w CC","9595"
"Nation","331","Major small and large bowel procedures w/o CC/MCC","24968"
"Nation","330","Major small and large bowel procedures w CC","56029"
"Nation","329","Major small and large bowel procedures w MCC","42342"
"Nation","328","Stomach, esophageal duodenal proc w/o CC/MCC","9975"
"Nation","473","Cervical spinal fusion w/o CC/MCC","29130"
"Nation","471","Cervical spinal fusion w MCC","3357"
"Nation","472","Cervical spinal fusion w CC","10962"
"Nation","460","Spinal fusion except cervical w/o MCC","71329"
"Nation","459","Spinal fusion except cervical w MCC","4465"
"Nation","491","Back and neck proc exc spinal fusion w/o CC/MCC","31919"
"Nation","490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","18546"
"Nation","508","Major shoulder or elbow joint procedures w/o CC/MCC","554"
"Nation","507","Major shoulder or elbow joint procedures w CC/MCC","616"
"Nation","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","9762"
"Nation","461","Bilateral or multiple major joint procs of lower extremity w MCC","447"
"Nation","470","Major joint replacement or reattachment of lower extremity w/o MCC","431358"
"Nation","469","Major joint replacement or reattachment of lower extremity w MCC","26670"
"Nation","468","Revision of hip or knee replacement w/o CC/MCC","16671"
"Nation","466","Revision of hip or knee replacement w MCC","4098"
"Nation","467","Revision of hip or knee replacement w CC","23365"
"Nation","479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","2969"
"Nation","477","Biopsies of musculoskeletal system and connective tissue w MCC","2657"
"Nation","478","Biopsies of musculoskeletal system and connective tissue w CC","7221"
"Nation","515","Other musculoskelet sys and conn tiss O.R. proc w MCC","3871"
"Nation","658","Kidney and ureter procedures for neoplasm w/o CC/MCC","7152"
"Nation","656","Kidney and ureter procedures for neoplasm w MCC","3518"
"Nation","657","Kidney and ureter procedures for neoplasm w CC","8647"
"Nation","659","Kidney and ureter procedures for non-neoplasm w MCC","4246"
"Nation","668","Transurethral procedures w MCC","3595"
"Nation","675","Other kidney and urinary tract procedures w/o CC/MCC","1544"
"Nation","673","Other kidney and urinary tract procedures w MCC","10824"
"Nation","674","Other kidney and urinary tract procedures w CC","7955"
"Nation","714","Transurethral prostatectomy w/o CC/MCC","8806"
"Nation","713","Transurethral prostatectomy w CC/MCC","6361"
"Nation","748","Female reproductive system reconstructive procedures","7861"
"Nation","743","Uterine and adnexa proc for non-malignancy w/o CC/MCC","19035"
