"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Number Of Cases"
"AK","282","Acute myocardial infarction, discharged alive w/o CC/MCC","46"
"AL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","582"
"AR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","354"
"AS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","*"
"AZ","282","Acute myocardial infarction, discharged alive w/o CC/MCC","405"
"CA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1886"
"CO","282","Acute myocardial infarction, discharged alive w/o CC/MCC","203"
"CT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","357"
"DC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","123"
"DE","282","Acute myocardial infarction, discharged alive w/o CC/MCC","98"
"FL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","2022"
"GA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","712"
"GU","282","Acute myocardial infarction, discharged alive w/o CC/MCC","27"
"HI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","109"
"IA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","319"
"ID","282","Acute myocardial infarction, discharged alive w/o CC/MCC","95"
"IL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1062"
"IN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","711"
"KS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","232"
"KY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","661"
"LA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","432"
"MA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","822"
"MD","282","Acute myocardial infarction, discharged alive w/o CC/MCC","768"
"ME","282","Acute myocardial infarction, discharged alive w/o CC/MCC","354"
"MI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1152"
"MN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","424"
"MO","282","Acute myocardial infarction, discharged alive w/o CC/MCC","563"
"MP","282","Acute myocardial infarction, discharged alive w/o CC/MCC","*"
"MS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","406"
"MT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","82"
"NC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1107"
"ND","282","Acute myocardial infarction, discharged alive w/o CC/MCC","70"
"NE","282","Acute myocardial infarction, discharged alive w/o CC/MCC","177"
"NH","282","Acute myocardial infarction, discharged alive w/o CC/MCC","163"
"NJ","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1289"
"NM","282","Acute myocardial infarction, discharged alive w/o CC/MCC","154"
"NV","282","Acute myocardial infarction, discharged alive w/o CC/MCC","182"
"NY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1888"
"OH","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1159"
"OK","282","Acute myocardial infarction, discharged alive w/o CC/MCC","444"
"OR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","298"
"PA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1368"
"PR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","392"
"RI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","116"
"SC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","575"
"SD","282","Acute myocardial infarction, discharged alive w/o CC/MCC","91"
"TN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","813"
"TX","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1769"
"UT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","74"
"VA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","831"
"VI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","*"
"VT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","62"
"WA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","498"
"WI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","418"
"WV","282","Acute myocardial infarction, discharged alive w/o CC/MCC","367"
"WY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","45"
"AK","280","Acute myocardial infarction, discharged alive w MCC","43"
"AL","280","Acute myocardial infarction, discharged alive w MCC","1181"
"AR","280","Acute myocardial infarction, discharged alive w MCC","662"
"AZ","280","Acute myocardial infarction, discharged alive w MCC","833"
"CA","280","Acute myocardial infarction, discharged alive w MCC","4830"
"CO","280","Acute myocardial infarction, discharged alive w MCC","350"
"CT","280","Acute myocardial infarction, discharged alive w MCC","1003"
"DC","280","Acute myocardial infarction, discharged alive w MCC","179"
"DE","280","Acute myocardial infarction, discharged alive w MCC","205"
"FL","280","Acute myocardial infarction, discharged alive w MCC","4649"
"GA","280","Acute myocardial infarction, discharged alive w MCC","1647"
"GU","280","Acute myocardial infarction, discharged alive w MCC","32"
"HI","280","Acute myocardial infarction, discharged alive w MCC","234"
"IA","280","Acute myocardial infarction, discharged alive w MCC","775"
"ID","280","Acute myocardial infarction, discharged alive w MCC","134"
"IL","280","Acute myocardial infarction, discharged alive w MCC","3104"
"IN","280","Acute myocardial infarction, discharged alive w MCC","1598"
"KS","280","Acute myocardial infarction, discharged alive w MCC","533"
"KY","280","Acute myocardial infarction, discharged alive w MCC","1506"
"LA","280","Acute myocardial infarction, discharged alive w MCC","834"
"MA","280","Acute myocardial infarction, discharged alive w MCC","1919"
"MD","280","Acute myocardial infarction, discharged alive w MCC","1106"
"ME","280","Acute myocardial infarction, discharged alive w MCC","584"
"MI","280","Acute myocardial infarction, discharged alive w MCC","3285"
"MN","280","Acute myocardial infarction, discharged alive w MCC","819"
"MO","280","Acute myocardial infarction, discharged alive w MCC","1395"
"MP","280","Acute myocardial infarction, discharged alive w MCC","*"
"MS","280","Acute myocardial infarction, discharged alive w MCC","842"
"MT","280","Acute myocardial infarction, discharged alive w MCC","81"
"NC","280","Acute myocardial infarction, discharged alive w MCC","2701"
"ND","280","Acute myocardial infarction, discharged alive w MCC","172"
"NE","280","Acute myocardial infarction, discharged alive w MCC","268"
"NH","280","Acute myocardial infarction, discharged alive w MCC","398"
"NJ","280","Acute myocardial infarction, discharged alive w MCC","2961"
"NM","280","Acute myocardial infarction, discharged alive w MCC","257"
"NV","280","Acute myocardial infarction, discharged alive w MCC","363"
"NY","280","Acute myocardial infarction, discharged alive w MCC","4573"
"OH","280","Acute myocardial infarction, discharged alive w MCC","2799"
"OK","280","Acute myocardial infarction, discharged alive w MCC","810"
"OR","280","Acute myocardial infarction, discharged alive w MCC","528"
"PA","280","Acute myocardial infarction, discharged alive w MCC","3402"
"PR","280","Acute myocardial infarction, discharged alive w MCC","278"
"RI","280","Acute myocardial infarction, discharged alive w MCC","339"
"SC","280","Acute myocardial infarction, discharged alive w MCC","1135"
"SD","280","Acute myocardial infarction, discharged alive w MCC","154"
"TN","280","Acute myocardial infarction, discharged alive w MCC","2105"
"TX","280","Acute myocardial infarction, discharged alive w MCC","4626"
"UT","280","Acute myocardial infarction, discharged alive w MCC","124"
"VA","280","Acute myocardial infarction, discharged alive w MCC","1913"
"VT","280","Acute myocardial infarction, discharged alive w MCC","131"
"WA","280","Acute myocardial infarction, discharged alive w MCC","1085"
"WI","280","Acute myocardial infarction, discharged alive w MCC","958"
"WV","280","Acute myocardial infarction, discharged alive w MCC","702"
"WY","280","Acute myocardial infarction, discharged alive w MCC","32"
"AK","281","Acute myocardial infarction, discharged alive w CC","46"
"AL","281","Acute myocardial infarction, discharged alive w CC","854"
"AR","281","Acute myocardial infarction, discharged alive w CC","471"
"AZ","281","Acute myocardial infarction, discharged alive w CC","656"
"CA","281","Acute myocardial infarction, discharged alive w CC","3141"
"CO","281","Acute myocardial infarction, discharged alive w CC","359"
"CT","281","Acute myocardial infarction, discharged alive w CC","623"
"DC","281","Acute myocardial infarction, discharged alive w CC","157"
"DE","281","Acute myocardial infarction, discharged alive w CC","154"
"FL","281","Acute myocardial infarction, discharged alive w CC","3490"
"GA","281","Acute myocardial infarction, discharged alive w CC","1203"
"GU","281","Acute myocardial infarction, discharged alive w CC","22"
"HI","281","Acute myocardial infarction, discharged alive w CC","199"
"IA","281","Acute myocardial infarction, discharged alive w CC","506"
"ID","281","Acute myocardial infarction, discharged alive w CC","134"
"IL","281","Acute myocardial infarction, discharged alive w CC","1842"
"IN","281","Acute myocardial infarction, discharged alive w CC","1129"
"KS","281","Acute myocardial infarction, discharged alive w CC","349"
"KY","281","Acute myocardial infarction, discharged alive w CC","1063"
"LA","281","Acute myocardial infarction, discharged alive w CC","632"
"MA","281","Acute myocardial infarction, discharged alive w CC","1257"
"MD","281","Acute myocardial infarction, discharged alive w CC","1412"
"ME","281","Acute myocardial infarction, discharged alive w CC","526"
"MI","281","Acute myocardial infarction, discharged alive w CC","2122"
"MN","281","Acute myocardial infarction, discharged alive w CC","676"
"MO","281","Acute myocardial infarction, discharged alive w CC","920"
"MP","281","Acute myocardial infarction, discharged alive w CC","*"
"MS","281","Acute myocardial infarction, discharged alive w CC","556"
"MT","281","Acute myocardial infarction, discharged alive w CC","89"
"NC","281","Acute myocardial infarction, discharged alive w CC","1937"
"ND","281","Acute myocardial infarction, discharged alive w CC","125"
"NE","281","Acute myocardial infarction, discharged alive w CC","234"
"NH","281","Acute myocardial infarction, discharged alive w CC","325"
"NJ","281","Acute myocardial infarction, discharged alive w CC","1814"
"NM","281","Acute myocardial infarction, discharged alive w CC","189"
"NV","281","Acute myocardial infarction, discharged alive w CC","263"
"NY","281","Acute myocardial infarction, discharged alive w CC","2930"
"OH","281","Acute myocardial infarction, discharged alive w CC","1896"
"OK","281","Acute myocardial infarction, discharged alive w CC","668"
"OR","281","Acute myocardial infarction, discharged alive w CC","434"
"PA","281","Acute myocardial infarction, discharged alive w CC","2323"
"PR","281","Acute myocardial infarction, discharged alive w CC","223"
"RI","281","Acute myocardial infarction, discharged alive w CC","207"
"SC","281","Acute myocardial infarction, discharged alive w CC","767"
"SD","281","Acute myocardial infarction, discharged alive w CC","142"
"TN","281","Acute myocardial infarction, discharged alive w CC","1493"
"TX","281","Acute myocardial infarction, discharged alive w CC","3067"
"UT","281","Acute myocardial infarction, discharged alive w CC","114"
"VA","281","Acute myocardial infarction, discharged alive w CC","1425"
"VI","281","Acute myocardial infarction, discharged alive w CC","*"
"VT","281","Acute myocardial infarction, discharged alive w CC","115"
"WA","281","Acute myocardial infarction, discharged alive w CC","776"
"WI","281","Acute myocardial infarction, discharged alive w CC","766"
"WV","281","Acute myocardial infarction, discharged alive w CC","571"
"WY","281","Acute myocardial infarction, discharged alive w CC","60"
"AK","293","Heart failure and shock w/o CC/MCC","72"
"AL","293","Heart failure and shock w/o CC/MCC","1817"
"AR","293","Heart failure and shock w/o CC/MCC","1355"
"AZ","293","Heart failure and shock w/o CC/MCC","814"
"CA","293","Heart failure and shock w/o CC/MCC","4840"
"CO","293","Heart failure and shock w/o CC/MCC","518"
"CT","293","Heart failure and shock w/o CC/MCC","994"
"DC","293","Heart failure and shock w/o CC/MCC","326"
"DE","293","Heart failure and shock w/o CC/MCC","314"
"FL","293","Heart failure and shock w/o CC/MCC","5702"
"GA","293","Heart failure and shock w/o CC/MCC","2202"
"GU","293","Heart failure and shock w/o CC/MCC","44"
"HI","293","Heart failure and shock w/o CC/MCC","163"
"IA","293","Heart failure and shock w/o CC/MCC","747"
"ID","293","Heart failure and shock w/o CC/MCC","146"
"IL","293","Heart failure and shock w/o CC/MCC","4275"
"IN","293","Heart failure and shock w/o CC/MCC","2311"
"KS","293","Heart failure and shock w/o CC/MCC","729"
"KY","293","Heart failure and shock w/o CC/MCC","1939"
"LA","293","Heart failure and shock w/o CC/MCC","1918"
"MA","293","Heart failure and shock w/o CC/MCC","2005"
"MD","293","Heart failure and shock w/o CC/MCC","1825"
"ME","293","Heart failure and shock w/o CC/MCC","298"
"MI","293","Heart failure and shock w/o CC/MCC","2852"
"MN","293","Heart failure and shock w/o CC/MCC","1105"
"MO","293","Heart failure and shock w/o CC/MCC","1845"
"MP","293","Heart failure and shock w/o CC/MCC","*"
"MS","293","Heart failure and shock w/o CC/MCC","1538"
"MT","293","Heart failure and shock w/o CC/MCC","152"
"NC","293","Heart failure and shock w/o CC/MCC","2593"
"ND","293","Heart failure and shock w/o CC/MCC","174"
"NE","293","Heart failure and shock w/o CC/MCC","425"
"NH","293","Heart failure and shock w/o CC/MCC","268"
"NJ","293","Heart failure and shock w/o CC/MCC","3167"
"NM","293","Heart failure and shock w/o CC/MCC","363"
"NV","293","Heart failure and shock w/o CC/MCC","437"
"NY","293","Heart failure and shock w/o CC/MCC","5247"
"OH","293","Heart failure and shock w/o CC/MCC","3376"
"OK","293","Heart failure and shock w/o CC/MCC","1264"
"OR","293","Heart failure and shock w/o CC/MCC","496"
"PA","293","Heart failure and shock w/o CC/MCC","4279"
"PR","293","Heart failure and shock w/o CC/MCC","510"
"RI","293","Heart failure and shock w/o CC/MCC","176"
"SC","293","Heart failure and shock w/o CC/MCC","1443"
"SD","293","Heart failure and shock w/o CC/MCC","193"
"TN","293","Heart failure and shock w/o CC/MCC","2137"
"TX","293","Heart failure and shock w/o CC/MCC","5359"
"UT","293","Heart failure and shock w/o CC/MCC","253"
"VA","293","Heart failure and shock w/o CC/MCC","2063"
"VI","293","Heart failure and shock w/o CC/MCC","46"
"VT","293","Heart failure and shock w/o CC/MCC","93"
"WA","293","Heart failure and shock w/o CC/MCC","1007"
"WI","293","Heart failure and shock w/o CC/MCC","1170"
"WV","293","Heart failure and shock w/o CC/MCC","821"
"WY","293","Heart failure and shock w/o CC/MCC","102"
"AK","291","Heart failure and shock w MCC","140"
"AL","291","Heart failure and shock w MCC","3742"
"AR","291","Heart failure and shock w MCC","1888"
"AZ","291","Heart failure and shock w MCC","2210"
"CA","291","Heart failure and shock w MCC","14769"
"CO","291","Heart failure and shock w MCC","1063"
"CT","291","Heart failure and shock w MCC","2530"
"DC","291","Heart failure and shock w MCC","548"
"DE","291","Heart failure and shock w MCC","836"
"FL","291","Heart failure and shock w MCC","13968"
"GA","291","Heart failure and shock w MCC","5799"
"GU","291","Heart failure and shock w MCC","62"
"HI","291","Heart failure and shock w MCC","383"
"IA","291","Heart failure and shock w MCC","1624"
"ID","291","Heart failure and shock w MCC","374"
"IL","291","Heart failure and shock w MCC","9432"
"IN","291","Heart failure and shock w MCC","4751"
"KS","291","Heart failure and shock w MCC","1439"
"KY","291","Heart failure and shock w MCC","3934"
