"Provider Number","Hospital Name","State","Measure Code","Measure Name","Measure Response"
"'010005'","MARSHALL MEDICAL CENTER SOUTH","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010016'","SHELBY BAPTIST MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Y"
"'010022'","CHEROKEE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010024'","JACKSON HOSPITAL & CLINIC INC","AL","SM_PART_CARD","Cardiac surgery registry","N"
"'010034'","COMMUNITY HOSPITAL INC","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010051'","GREENE COUNTY HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010058'","BIBB MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010079'","ATHENS-LIMESTONE HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010108'","PRATTVILLE BAPTIST HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010128'","JACKSON MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010129'","NORTH BALDWIN INFIRMARY","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'010164'","COOSA VALLEY MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'020006'","MAT-SU REGIONAL MEDICAL CENTER","AK","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'021304'","PETERSBURG MEDICAL CENTER","AK","SM_PART_CARD","Cardiac surgery registry","Not Available"
"'021306'","PROVIDENCE KODIAK ISLAND MEDICAL CTR","AK","SM_PART_CARD","Cardiac surgery registry","Not Available"
"'021308'","NORTON SOUND REGIONAL HOSPITAL","AK","SM_PART_CARD","Cardiac surgery registry","Not Available"
"'021313'","SOUTH PENINSULA HOSPITAL","AK","SM_PART_CARD","Cardiac surgery registry","Not Available"
"'030012'","YAVAPAI REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac surgery registry","Y"
"'030014'","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","AZ","SM_PART_CARD","Cardiac surgery registry","Y"
"'030038'","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac surgery registry","Y"
"'030069'","HAVASU REGIONAL MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac surgery registry","Y"
"'030071'","FORT DEFIANCE INDIAN HOSPITAL","AZ","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'030093'","BANNER DEL E WEBB MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
"'030103'","MAYO CLINIC HOSPITAL","AZ","SM_PART_CARD","Cardiac surgery registry","Y"
"'030113'","WHITERIVER PHS INDIAN HOSPITAL","AZ","SM_PART_CARD","Cardiac surgery registry","Not Available"
"'030117'","VALLEY VIEW MEDICAL CENTER","AZ","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program"
