"State","Condition","Measure Name","State Average"
"AK","Heart Attack","Patients Given Aspirin at Arrival","92"
"AK","Heart Attack","Patients Given Aspirin at Discharge","97"
"AK","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","93"
"AK","Heart Attack","Patients Given Beta Blocker at Discharge","93"
"AK","Heart Attack","Patients Given Beta Blocker at Arrival","91"
"AK","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","89"
"AK","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","89"
"AK","Pneumonia","Patients Given Oxygenation Assessment","98"
"AK","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","53"
"AK","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","73"
"AK","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","83"
"AK","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","30"
"AK","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","71"
"AK","Heart Failure","Patients Given Discharge Instructions","41"
"AK","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","79"
"AK","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","90"
"AK","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","72"
"AK","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","73"
"AK","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","55"
"AK","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","59"
"AL","Heart Attack","Patients Given Aspirin at Arrival","89"
"AL","Heart Attack","Patients Given Aspirin at Discharge","90"
"AL","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","81"
"AL","Heart Attack","Patients Given Beta Blocker at Discharge","84"
"AL","Heart Attack","Patients Given Beta Blocker at Arrival","80"
"AL","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","78"
"AL","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","78"
"AL","Pneumonia","Patients Given Oxygenation Assessment","98"
"AL","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","57"
"AL","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","77"
