"State","Condition","Measure Name","Measure Code","Score"
"KS","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"KY","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"LA","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"ME","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"MD","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"MA","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"MI","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"MN","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"MS","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","76"
"MO","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"MT","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"NE","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"NV","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"NH","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"NJ","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"NM","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"NY","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"NC","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","70"
"ND","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"OH","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"OK","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"OR","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"PA","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"PR","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"RI","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"SC","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"SD","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"TN","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"TX","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","76"
"UT","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"VT","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"VI","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
"VA","Children's Asthma Process of Care Measures","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","CAC_3","N/A"
