"State","HCAHPS Question","HCAHPS Measure Code","HCAHPS Answer Description","HCAHPS Answer Percent"
"GU","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","N/A"
"MP","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital","N/A"
"AL","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"AK","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"AZ","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","6"
"AR","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","6"
"CA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","7"
"CO","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"CT","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"DE","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","6"
"DC","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","9"
"FL","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","8"
"GA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","6"
"HI","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","7"
"ID","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","4"
"IL","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","6"
"IN","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","4"
"IA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","3"
"KS","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","4"
"KY","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"LA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"ME","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","4"
"MD","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","7"
"MA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","4"
"MI","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"MN","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","3"
"MS","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"MO","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"MT","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"NE","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","3"
"NV","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","8"
"NH","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","4"
"NJ","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","7"
"NM","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","7"
"NY","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","7"
"NC","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
"ND","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
