"HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"How often did nurses communicate well with patients?","Nurses always communicated well","77"
"How often did nurses communicate well with patients?","Nurses usually communicated well","18"
"How often did nurses communicate well with patients?","Nurses sometimes or never communicated well","5"
"How often did doctors communicate well with patients?","Doctors always communicated well","81"
"How often did doctors communicate well with patients?","Doctors usually communicated well","15"
"How often did doctors communicate well with patients?","Doctors sometimes or never communicated well","4"
"How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted","65"
"How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted","25"
"How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted","10"
"How often was patients' pain well controlled?","Pain was always well controlled","70"
"How often was patients' pain well controlled?","Pain was usually well controlled","23"
"How often was patients' pain well controlled?","Pain was sometimes or never well controlled","7"
"How often did staff explain about medicines before giving them to patients?","Staff always explained","62"
"How often did staff explain about medicines before giving them to patients?","Staff usually explained","18"
"How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained","20"
"How often were the patients' rooms and bathrooms kept clean?","Room was always clean","72"
"How often were the patients' rooms and bathrooms kept clean?","Room was usually clean","19"
"How often were the patients' rooms and bathrooms kept clean?","Room was sometimes or never clean","9"
"How often was the area around patients' rooms kept quiet at night?","Always quiet at night","59"
"How often was the area around patients' rooms kept quiet at night?","Usually quiet at night","30"
"How often was the area around patients' rooms kept quiet at night?","Sometimes or never quiet at night","11"
"Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information","83"
"Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information","17"
"How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)","69"
"How do patients rate the hospital overall?","Patients who gave a rating of7 or 8 (medium)","22"
"How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)","9"
"Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital","70"
"Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital","25"
"Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)","5"
