"State","Outpatients with low back pain who had an MRI without trying recommended treatments first such as physical therapy","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram","Outpatient CT scans of the abdomen that were “combination” (double) scans","Outpatient CT scans of the chest that were “combination” (double) scans","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Outpatients with brain CT scans who got a sinus CT scan at the same time"
"AK","48.2","9.5","0.08","0.009","6","2.5"
"AL","39","8","0.208","0.047","6.9","3.3"
"AR","39.4","10.2","0.19","0.069","5","3.1"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","34.7","9.4","0.142","0.084","6","3.4"
"CA","34.1","8.2","0.187","0.043","5.5","2.1"
"CO","40.6","8.9","0.14","0.031","4.9","2.1"
"CT","32","12.6","0.092","0.021","5.1","2"
"DC","37.3","6.4","0.112","0.045","6.6","3.2"
"DE","31.3","8.2","0.195","0.018","5.9","2"
"FL","32.9","9.7","0.161","0.037","7","3.4"
"GA","35.3","8.8","0.125","0.054","5.7","2.2"
"GU","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"HI","36.1","9.1","0.094","0.012","4.1","1.6"
"IA","32.6","8","0.14","0.04","5.1","2"
"ID","40.2","7.8","0.097","0.034","4.1","1.6"
"IL","37.4","8.4","0.171","0.058","5.5","2.7"
"IN","37.3","8.1","0.16","0.103","5.7","2.7"
"KS","38.9","7.7","0.313","0.053","5.2","3.1"
"KY","40.8","8.1","0.126","0.042","5.6","3.1"
"LA","41.4","8.1","0.306","0.096","5.2","3"
"MA","34.2","9.2","0.076","0.008","5.5","2.3"
"MD","37.7","8.4","0.053","0.01","6.5","4.7"
"ME","39.2","7.6","0.073","0.018","5.2","1.6"
"MI","36.1","7.4","0.111","0.051","5.2","2.4"
"MN","46.7","6.1","0.074","0.013","5.8","2.5"
"MO","40.1","8.1","0.189","0.044","5.9","3.2"
"MP","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MS","41.4","8.1","0.164","0.075","6","3.9"
"MT","41.8","8","0.136","0.03","4.8","1.9"
"NC","33.4","8.4","0.085","0.026","5.6","2.5"
"ND","33.5","7.6","0.136","0.018","4.6","2.3"
"NE","37.2","9.8","0.126","0.037","5.4","2.6"
"NH","34.2","8","0.054","0.007","5.3","2.6"
"NJ","31.4","11.7","0.095","0.027","6.5","2.6"
"NM","40.8","7.9","0.121","0.052","4.2","2.8"
"NV","41.1","7.6","0.134","0.046","6.4","3"
"NY","31.4","11.3","0.106","0.022","6.1","3.6"
"OH","33.9","8.7","0.119","0.024","5.6","2.8"
"OK","39.2","8","0.303","0.097","4.7","2.3"
"OR","41.6","8.5","0.085","0.017","5","2"
"PA","36.1","8.2","0.151","0.023","6","3.1"
"PR","27.7","39.7","0.08","0.086","4.7","0.9"
"RI","35.2","9","0.058","0.025","6.3","3.4"
"SC","36.6","8.2","0.135","0.031","5.9","2.7"
"SD","34.8","7.6","0.262","0.086","4.5","1.8"
"TN","34.2","8.3","0.17","0.08","5","3.3"
"TX","38.4","8.3","0.257","0.091","5.6","2.5"
"UT","39.4","7.4","0.081","0.023","5.3","2.8"
"VA","34.3","7.7","0.107","0.028","5.2","2.2"
"VI","Not Available","6","0.028","0.021","5.2","2.4"
"VT","36.4","8.6","0.06","0.01","4.4","1.6"
"WA","38.9","8.4","0.09","0.018","5","2.3"
"WI","35.1","8","0.079","0.019","5.6","2.1"
"WV","43.1","9.2","0.267","0.076","5.8","3.1"
"WY","42.9","8.7","0.198","0.041","5.3","3"
