Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Total Performance Score
"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","AR","72801","POPE","56.363636363636","25.363636363636","38.000000000000","11.400000000000","0.000000000000","0.000000000000","36.763636363636"
"040042","CRITTENDEN MEMORIAL HOSPITAL","200 TYLER","WEST MEMPHIS","AR","72301","CRITTENDEN","48.000000000000","21.600000000000","28.000000000000","8.400000000000","20.000000000000","5.000000000000","35.000000000000"
"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","AR","71701","OUACHITA","54.444444444444","24.500000000000","40.000000000000","12.000000000000","0.000000000000","0.000000000000","36.500000000000"
"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","AR","71655","DREW","0.000000000000","0.000000000000","49.000000000000","14.700000000000","15.000000000000","3.750000000000","18.450000000000"
"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","AR","72901","SEBASTIAN","95.000000000000","42.750000000000","33.000000000000","9.900000000000","23.333333333333","5.833333333333","58.483333333333"
"040062","ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH","AR","72917","SEBASTIAN","46.666666666667","21.000000000000","32.000000000000","9.600000000000","20.000000000000","5.000000000000","35.600000000000"
"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","BLYTHEVILLE","AR","72315","MISSISSIPPI","18.000000000000","8.100000000000","37.000000000000","11.100000000000","35.000000000000","8.750000000000","27.950000000000"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","AR","71603","JEFFERSON","72.500000000000","32.625000000000","32.000000000000","9.600000000000","3.333333333333","0.833333333333","43.058333333333"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","AR","72160","ARKANSAS","72.500000000000","32.625000000000","77.000000000000","23.100000000000","10.000000000000","2.500000000000","58.225000000000"
"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS","AR","71901","GARLAND","66.363636363636","29.863636363636","42.000000000000","12.600000000000","16.666666666667","4.166666666667","46.630303030303"
"040080","HARRIS HOSPITAL","1205 MCLAIN STREET","NEWPORT","AR","72112","JACKSON","58.750000000000","26.437500000000","18.000000000000","5.400000000000","0.000000000000","0.000000000000","31.837500000000"
"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","AR","72015","SALINE","46.363636363636","20.863636363636","65.000000000000","19.500000000000","3.333333333333","0.833333333333","41.196969696970"
"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO","AR","71731","UNION","76.666666666667","34.500000000000","41.000000000000","12.300000000000","43.333333333333","10.833333333333","57.633333333333"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","AR","72205","PULASKI","64.166666666667","28.875000000000","45.000000000000","13.500000000000","0.000000000000","0.000000000000","42.375000000000"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD","JONESBORO","AR","72401","CRAIGHEAD","62.500000000000","28.125000000000","67.000000000000","20.100000000000","6.666666666667","1.666666666667","49.891666666667"
"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","AR","72503","INDEPENDENCE","58.181818181818","26.181818181818","45.000000000000","13.500000000000","20.000000000000","5.000000000000","44.681818181818"
"040134","ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK","AR","72211","PULASKI","95.833333333333","43.125000000000","83.000000000000","24.900000000000","53.333333333333","13.333333333333","81.358333333333"
"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","SHERWOOD","AR","72120","PULASKI","50.000000000000","22.500000000000","25.000000000000","7.500000000000","25.000000000000","6.250000000000","36.250000000000"
"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","HAYWARD","CA","94545","ALAMEDA","64.545454545455","29.045454545455","22.000000000000","6.600000000000","36.666666666667","9.166666666667","44.812121212121"
"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","EUREKA","CA","95501","HUMBOLDT","45.000000000000","20.250000000000","15.000000000000","4.500000000000","26.666666666667","6.666666666667","31.416666666667"
"050007","PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","BURLINGAME","CA","94010","SAN MATEO","60.833333333333","27.375000000000","49.000000000000","14.700000000000","53.333333333333","13.333333333333","55.408333333333"
"050008","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","45 CASTRO STREET","SAN FRANCISCO","CA","94114","SAN FRANCISCO","85.714285714286","38.571428571429","16.000000000000","4.800000000000","15.000000000000","3.750000000000","47.121428571429"
"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST","NAPA","CA","94558","NAPA","50.833333333333","22.875000000000","21.000000000000","6.300000000000","50.000000000000","12.500000000000","41.675000000000"
"050013","ST HELENA HOSPITAL","10 WOODLAND ROAD","SAINT HELENA","CA","94574","NAPA","40.909090909091","18.409090909091","69.000000000000","20.700000000000","46.666666666667","11.666666666667","50.775757575758"
