"MSR_CD","NATIONAL","PSI_NATIONAL_SCR","IQI_NATIONAL_SCR"
"PSI_90_SAFETY_NATIONAL_P","Not Available","Not Available","Not Available"
"PSI_6_IAT_PTX_NATIONAL_P","0.35","Not Available","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT_NATIONAL_P","4.71","Not Available","Not Available"
"PSI_14_POSTOP_DEHIS_NATIONAL_P","0.95","Not Available","Not Available"
"PSI_15_ACC_LAC_NATIONAL_P","2.05","Not Available","Not Available"
"PSI_4_SURG_COMP_NATIONAL_P","113.43","Not Available","Not Available"
"PSI_11_POSTOP_RESPFAIL_NATIONAL_P","Not Available","Not Available","Not Available"
"PSI_3_SURG_COMP","Not Available","Not Available","Not Available"
"PSI_7_SURG_COMP","Not Available","Not Available","Not Available"
"PSI_8_SURG_COMP","Not Available","Not Available","Not Available"
"PSI_13_SURG_COMP_RATE","Not Available","Not Available","Not Available"
"PSI_90_SAFETY","Not Available","Not Available","Not Available"
"PSI_6_IAT_PTX","0.35","Not Available","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT","4.71","Not Available","Not Available"
"PSI_14_POSTOP_DEHIS","0.95","Not Available","Not Available"
"PSI_15_ACC_LAC","2.05","Not Available","Not Available"
"PSI_4_SURG_COMP","113.43","Not Available","Not Available"
"PSI_11_POSTOP_RESPFAIL","Not Available","Not Available","Not Available"
"IQI_19_HIP_FX","Not Available","Not Available","Not Available"
"IQI_16_AAA","Not Available","Not Available","Not Available"
"IQI_11_AAA_NATIONAL_P","Not Available","Not Available","Not Available"
"IQI_17_AAA","Not Available","Not Available","Not Available"
"IQI_91_CONDS","Not Available","Not Available","Not Available"
"IQI_11_AAA","Not Available","Not Available","Not Available"
"IQI_15_AAA","Not Available","Not Available","Not Available"
"IQI_20_AAA","Not Available","Not Available","Not Available"
"IQI_91_CONDS_NATIONAL_P","Not Available","Not Available","Not Available"
"IQI_18_AAA","Not Available","Not Available","Not Available"
"IQI_19_HIP_FX_NATIONAL_P","Not Available","Not Available","Not Available"
"PSI_11_POSTOP_RESPFAIL_TOOFEW","Not Available","231","Not Available"
"PSI_11_POSTOP_RESPFAIL_SAME","Not Available","2458","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT_TOOFEW","Not Available","110","Not Available"
"PSI_4_SURG_COMP_SAME","Not Available","1888","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT_WORSE","Not Available","229","Not Available"
"PSI_15_ACC_LAC_BETTER","Not Available","156","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT_SAME","Not Available","2768","Not Available"
"PSI_6_IAT_PTX_WORSE","Not Available","77","Not Available"
"PSI_11_POSTOP_RESPFAIL_BETTER","Not Available","201","Not Available"
"PSI_90_SAFETY_WORSE","Not Available","215","Not Available"
"PSI_90_SAFETY_SAME","Not Available","3115","Not Available"
"PSI_15_ACC_LAC_SAME","Not Available","3050","Not Available"
"PSI_11_POSTOP_RESPFAIL_WORSE","Not Available","251","Not Available"
"PSI_14_POSTOP_DEHIS_TOOFEW","Not Available","370","Not Available"
"PSI_15_ACC_LAC_WORSE","Not Available","238","Not Available"
"PSI_6_IAT_PTX_TOOFEW","Not Available","41","Not Available"
"PSI_15_ACC_LAC_TOOFEW","Not Available","42","Not Available"
"PSI_14_POSTOP_DEHIS_SAME","Not Available","2753","Not Available"
"PSI_4_SURG_COMP_BETTER","Not Available","63","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT_BETTER","Not Available","220","Not Available"
"PSI_90_SAFETY_TOOFEW","Not Available","Not Available","Not Available"
"PSI_90_SAFETY_BETTER","Not Available","156","Not Available"
"PSI_6_IAT_PTX_BETTER","Not Available","10","Not Available"
"PSI_4_SURG_COMP_WORSE","Not Available","84","Not Available"
"PSI_14_POSTOP_DEHIS_BETTER","Not Available","0","Not Available"
"PSI_6_IAT_PTX_SAME","Not Available","3358","Not Available"
"PSI_14_POSTOP_DEHIS_WORSE","Not Available","40","Not Available"
"PSI_4_SURG_COMP_TOOFEW","Not Available","961","Not Available"
"IQI_11_AAA_WORSE","Not Available","Not Available","Not Available"
"IQI_91_CONDS_BETTER","Not Available","Not Available","Not Available"
"IQI_11_AAA_BETTER","Not Available","Not Available","Not Available"
"IQI_91_CONDS_SAME","Not Available","Not Available","Not Available"
"IQI_91_CONDS_WORSE","Not Available","Not Available","Not Available"
"IQI_19_HIP_FX_TOOFEW","Not Available","Not Available","Not Available"
"IQI_11_AAA_SAME","Not Available","Not Available","Not Available"
"IQI_19_HIP_FX_BETTER","Not Available","Not Available","Not Available"
"IQI_19_HIP_FX_SAME","Not Available","Not Available","Not Available"
"IQI_19_HIP_FX_WORSE","Not Available","Not Available","Not Available"
"IQI_91_CONDS_TOOFEW","Not Available","Not Available","Not Available"
"IQI_11_AAA_TOOFEW","Not Available","Not Available","Not Available"
