"Footnote","FootnoteText"
"1","The number of cases is too small to reliably tell how well a hospital is performing."
"10","A state average was not calculated because too few hospitals in the state submitted data."
"11","There were discrepancies in the data collection process."
"a","Source: Hospital Consumer Assessment of Healthcare Providers and Systems (HCAHPS) Survey."
"b","This is the middle range of payments for the most typical cases treated in this geographic area for this condition or procedure."
"c","Number of Medicare Patients Treated: The number of discharges the hospital treated for each MS-DRG for the current data collection period. The United States and state average of Medicare Patients does not include hospitals with zero cases."
"d","The payment and volume information is for acute care hospitals. Critical access hospitals (CAH) are not included because they are paid using another method."
"e","Payment cannot be computed as there were no Medicare discharges for this Medicare Severity-Diagnosis Related Group (for the current data collection period)."
"f","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)."
"g","This hospital is currently not submitting data for Hospital Clinical Care Measures, Hospital Outcome of Care Measures and/or the Hospital Consumer Assessment of Health Providers and Systems (HCAHPS) Patient Survey."
"h","This column shows the number of patients with Original Medicare who were admitted to the hospital for heart attack, heart failure or pneumonia conditions. The hospital may also have treated additional Medicare patients in Medicare health plans (like an HMO or PPO)."
"2","The hospital indicated that the data submitted for this measure were based on a sample of cases."
"i","The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing."
"12","Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance."
"13","These measures are included in the composite measure calculations but Medicare is not reporting them at this time."
"j","Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases."
"14","No data are available for publication from the hospital for this measure because there were zero central line days."
"15","No data are available for publication from the hospital for this measure because this hospital does not have ICU locations."
"16","The number of cases is too small (fewer than 10) to reliably tell how well the hospital is performing."
"17","No data are available from the hospital for this measure."
"18","Number of cases too small (fewer than 25) to report an excess readmission ratio."
"3","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure."
"19","This hospital is not included in the Hospital Readmissions Reduction Program."
"20","Data aren’t available for reporting as the hospital is a new member of the surgical registry and didn’t have an opportunity to submit any cases for the measure."
"21","Data aren’t available for the voluntary public reporting of this measure."
"4","Suppressed for one or more quarters by CMS."
"5","No data are available from the hospital for this measure."
"6","Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance."
"7","Survey results are based on less than 12 months of data."
"8","Survey results are not available for this reporting period."
"9","No or very few patients were eligible for the HCAHPS survey."
