"Provider Number","Condition","Measure Name","Score"
"Nation","Surgical Care Improvement Project","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on the beta blockers during the period just before and after their surgery      ","94"
"Nation","Surgical Care Improvement Project","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection  ","97"
"Nation","Surgical Care Improvement Project","Surgery patients who were given the right kind of antibiotic to help prevent infection     ","98"
"Nation","Surgical Care Improvement Project","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)     ","96"
"Nation","Surgical Care Improvement Project","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery  ","94"
"Nation","Surgical Care Improvement Project","Surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method (electric clippers or hair removal cream – not a razor)","100"
"Nation","Surgical Care Improvement Project","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries ","95"
"Nation","Surgical Care Improvement Project","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery     ","93"
"Nation","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery.","91"
"Nation","Heart Attack or Chest Pain","Heart Attack Patients Given Aspirin at Arrival","99"
"Nation","Heart Attack or Chest Pain","Heart Attack Patients Given Aspirin at Discharge","99"
"Nation","Heart Attack or Chest Pain","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","96"
"Nation","Heart Attack or Chest Pain","Heart Attack Patients Given Smoking Cessation Advice/Counseling","100"
"Nation","Heart Attack or Chest Pain","Heart Attack Patients Given Beta Blocker at Discharge","98"
"Nation","Heart Attack or Chest Pain","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","58"
"Nation","Heart Attack or Chest Pain","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","91"
"Nation","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","94"
"Nation","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","96"
"Nation","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","98"
"Nation","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","96"
"Nation","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","93"
"Nation","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","91"
"Nation","Heart Failure","Heart Failure Patients Given Discharge Instructions","90"
"Nation","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","98"
"Nation","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","95"
"Nation","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","99"
"Nation","Children's Asthma","Children Who Received Reliever Medication While Hospitalized for Asthma    ","100"
"Nation","Children's Asthma","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma      ","100"
"Nation","Children's Asthma","Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma    ","77"
"Nation","Surgical Care Improvement Project","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","94"
"Nation","Surgical Care Improvement Project","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","95"
"Nation","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG (a lower number of minutes is better)","8"
"Nation","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival (higher numbers are better)","56"
"Nation","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival (higher numbers are better)","96"
