"Measure Name","Condition","Percentile","Score"
"Children Who Received Reliever Medication While Hospitalized for Asthma","Children&#8217;s Asthma Care","National Average of Hospitals submitting data:","100%"
"Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma","Children&#8217;s Asthma Care","National Average of Hospitals submitting data:","99%"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack","National Average of Hospitals submitting data:","88%"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack","National Average of Hospitals submitting data:","94%"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack","National Average of Hospitals submitting data:","91%"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Beta Blocker at Arrival","Heart Attack","National Average of Hospitals submitting data:","89%"
"Heart Attack Patients Given Beta Blocker at Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack","National Average of Hospitals submitting data:","92%"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Heart Attack","National Average of Hospitals submitting data:","40%"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Heart Attack","National Average of Hospitals submitting data:","67%"
"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","92%"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack","National Average of Hospitals submitting data:","92%"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","National Average of Hospitals submitting data:","87%"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure","National Average of Hospitals submitting data:","87%"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Failure Patients Given Discharge Instructions","Heart Failure","National Average of Hospitals submitting data:","69%"
"Heart Failure Patients Given Discharge Instructions","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure","National Average of Hospitals submitting data:","89%"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia","National Average of Hospitals submitting data:","75%"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","99%"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","National Average of Hospitals submitting data:","78%"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Pneumonia","National Average of Hospitals submitting data:","93%"
"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
