"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Average Payment Range","Number Of Cases"
"RI","039","Extracranial procedures w/o CC/MCC","1339 - 8322","202"
"OK","039","Extracranial procedures w/o CC/MCC","5087 - 6238","754"
"NM","039","Extracranial procedures w/o CC/MCC","25 - 6132","172"
"ND","039","Extracranial procedures w/o CC/MCC","5132 - 5865","241"
"ME","039","Extracranial procedures w/o CC/MCC","6209 - 6729","310"
"KY","039","Extracranial procedures w/o CC/MCC","5287 - 6385","975"
"ID","039","Extracranial procedures w/o CC/MCC","235 - 6026","178"
"GA","039","Extracranial procedures w/o CC/MCC","5476 - 6447","1360"
"CT","039","Extracranial procedures w/o CC/MCC","6571 - 7807","617"
"WA","039","Extracranial procedures w/o CC/MCC","6164 - 6905","898"
"GU","039","Extracranial procedures w/o CC/MCC","2020 - 3030","*"
"UT","039","Extracranial procedures w/o CC/MCC","397 - 6002","192"
"SC","039","Extracranial procedures w/o CC/MCC","5505 - 6196","1055"
"OR","039","Extracranial procedures w/o CC/MCC","1068 - 6450","569"
"NV","039","Extracranial procedures w/o CC/MCC","4238 - 6612","416"
"NE","039","Extracranial procedures w/o CC/MCC","5411 - 5900","372"
"MS","039","Extracranial procedures w/o CC/MCC","5566 - 6114","732"
"MI","039","Extracranial procedures w/o CC/MCC","5619 - 6957","2065"
"LA","039","Extracranial procedures w/o CC/MCC","5006 - 5796","1138"
"IL","039","Extracranial procedures w/o CC/MCC","5666 - 6515","1653"
"DC","039","Extracranial procedures w/o CC/MCC","7890 - 8122","58"
"AZ","039","Extracranial procedures w/o CC/MCC","1068 - 6379","1010"
"AK","039","Extracranial procedures w/o CC/MCC","7295 - 7375","39"
"WV","039","Extracranial procedures w/o CC/MCC","4992 - 6011","605"
"TN","039","Extracranial procedures w/o CC/MCC","5158 - 6047","1480"
"PR","039","Extracranial procedures w/o CC/MCC","1821 - 3544","67"
"OH","039","Extracranial procedures w/o CC/MCC","5294 - 6097","2429"
"NJ","039","Extracranial procedures w/o CC/MCC","6252 - 7498","1307"
"NC","039","Extracranial procedures w/o CC/MCC","5567 - 6822","1576"
"MO","039","Extracranial procedures w/o CC/MCC","5220 - 6095","1372"
"MD","039","Extracranial procedures w/o CC/MCC","5244 - 8402","896"
"KS","039","Extracranial procedures w/o CC/MCC","5189 - 5782","753"
"IA","039","Extracranial procedures w/o CC/MCC","5434 - 5935","791"
"FL","039","Extracranial procedures w/o CC/MCC","5208 - 5846","4502"
"CO","039","Extracranial procedures w/o CC/MCC","5043 - 6290","482"
"AR","039","Extracranial procedures w/o CC/MCC","5288 - 5891","810"
"WI","039","Extracranial procedures w/o CC/MCC","5379 - 6501","1011"
"VA","039","Extracranial procedures w/o CC/MCC","5459 - 6218","1089"
"SD","039","Extracranial procedures w/o CC/MCC","5327 - 5853","188"
"PA","039","Extracranial procedures w/o CC/MCC","1043 - 6181","2327"
"NY","039","Extracranial procedures w/o CC/MCC","1825 - 7952","2683"
"NH","039","Extracranial procedures w/o CC/MCC","5938 - 8520","255"
"MT","039","Extracranial procedures w/o CC/MCC","5460 - 5786","205"
"MN","039","Extracranial procedures w/o CC/MCC","5932 - 6544","720"
"MA","039","Extracranial procedures w/o CC/MCC","6320 - 8542","1155"
"IN","039","Extracranial procedures w/o CC/MCC","5480 - 6062","1394"
"HI","039","Extracranial procedures w/o CC/MCC","7011 - 8255","52"
"DE","039","Extracranial procedures w/o CC/MCC","6059 - 7007","168"
"CA","039","Extracranial procedures w/o CC/MCC","1068 - 7982","3412"
"AL","039","Extracranial procedures w/o CC/MCC","5134 - 5686","1115"
"WA","191","Chronic obstructive pulmonary disease w CC","6018 - 6777","1617"
"GU","191","Chronic obstructive pulmonary disease w CC","2020 - 5302","16"
"UT","191","Chronic obstructive pulmonary disease w CC","5168 - 5807","216"
"SC","191","Chronic obstructive pulmonary disease w CC","5369 - 5973","2404"
"OR","191","Chronic obstructive pulmonary disease w CC","1068 - 6354","979"
"NV","191","Chronic obstructive pulmonary disease w CC","5568 - 7152","940"
"NE","191","Chronic obstructive pulmonary disease w CC","5317 - 6010","690"
"AK","192","Chronic obstructive pulmonary disease w/o CC/MCC","6069 - 8803","146"
"AZ","192","Chronic obstructive pulmonary disease w/o CC/MCC","1068 - 4714","1929"
"DC","192","Chronic obstructive pulmonary disease w/o CC/MCC","5659 - 5796","296"
"IL","192","Chronic obstructive pulmonary disease w/o CC/MCC","4105 - 4992","6340"
"LA","192","Chronic obstructive pulmonary disease w/o CC/MCC","3817 - 4260","2834"
"MI","192","Chronic obstructive pulmonary disease w/o CC/MCC","4097 - 4953","6135"
